Subject,Country,Year,Unit,Power,Value
Exports of services,France,2011,US Dollar,Billions,243.732000
Exports of services,France,2012,US Dollar,Billions,244.189600
Exports of services,France,2013,US Dollar,Billions,268.026800
Exports of services,France,2014,US Dollar,Billions,286.423500
Exports of services,France,2015,US Dollar,Billions,255.666500
Outflows of foreign direct investment,France,2011,US Dollar,Millions,51461.768000
Outflows of foreign direct investment,France,2012,US Dollar,Millions,31573.894000
Outflows of foreign direct investment,France,2013,US Dollar,Millions,24992.674000
Outflows of foreign direct investment,France,2014,US Dollar,Millions,42870.851000
Inflows of foreign direct investment,France,2011,US Dollar,Millions,31670.741000
Inflows of foreign direct investment,France,2012,US Dollar,Millions,16985.242000
Inflows of foreign direct investment,France,2013,US Dollar,Millions,42884.264000
Inflows of foreign direct investment,France,2014,US Dollar,Millions,15191.744000
Current account balance,France,2011,Percentage,Units,-0.864060
Current account balance,France,2012,Percentage,Units,-0.965086
Current account balance,France,2013,Percentage,Units,-0.509596
Current account balance,France,2014,Percentage,Units,-0.957255
Current account balance,France,2015,Percentage,Units,-0.365690
Long-term interest rates,France,2011,Percentage,Units,3.321058
Long-term interest rates,France,2012,Percentage,Units,2.535994
Long-term interest rates,France,2013,Percentage,Units,2.204340
Long-term interest rates,France,2014,Percentage,Units,1.666439
Long-term interest rates,France,2015,Percentage,Units,0.841873
Real effective exchange rates,France,2011,Index,Units,104.951230
Real effective exchange rates,France,2012,Index,Units,102.527680
Real effective exchange rates,France,2013,Index,Units,103.080610
Real effective exchange rates,France,2014,Index,Units,103.244410
Real effective exchange rates,France,2015,Index,Units,100.000000
Total primary energy supply,France,2011,Tonnes of oil equivalent (toe),Millions,254.160000
Total primary energy supply,France,2012,Tonnes of oil equivalent (toe),Millions,254.480000
Total primary energy supply,France,2013,Tonnes of oil equivalent (toe),Millions,255.150000
Total primary energy supply,France,2014,Tonnes of oil equivalent (toe),Millions,244.640000
Total primary energy supply,France,2015,Tonnes of oil equivalent (toe),Millions,248.590000
Total primary energy supply per unit of GDP,France,2011,Tonnes of oil equivalent (toe),Units,0.106000
Total primary energy supply per unit of GDP,France,2012,Tonnes of oil equivalent (toe),Units,0.106000
Total primary energy supply per unit of GDP,France,2013,Tonnes of oil equivalent (toe),Units,0.106000
Total primary energy supply per unit of GDP,France,2014,Tonnes of oil equivalent (toe),Units,0.101000
Total primary energy supply per unit of GDP,France,2015,Tonnes of oil equivalent (toe),Units,0.101000
Electricity generation,France,2011,Terawatt hours,Units,559911.000000
Electricity generation,France,2012,Terawatt hours,Units,559546.000000
Electricity generation,France,2013,Terawatt hours,Units,568695.000000
Electricity generation,France,2014,Terawatt hours,Units,558357.000000
Electricity generation,France,2015,Terawatt hours,Units,565366.000000
Nuclear electricity generation; Terawatt hours,France,2014,Terawatt hours,Units,415.900000
Nuclear electricity generation; As a percentage of total electricity generation,France,2014,Percentage,Units,76.900000
Nuclear power plants connected to the grid,France,2014,Number,Units,58.000000
Nuclear power plants under construction,France,2014,Number,Units,1.000000
Contribution of renewables to energy supply,France,2011,Percentage,Units,0.072900
Contribution of renewables to energy supply,France,2012,Percentage,Units,0.083000
Contribution of renewables to energy supply,France,2013,Percentage,Units,0.091900
Contribution of renewables to energy supply,France,2014,Percentage,Units,0.089100
Contribution of renewables to energy supply,France,2015,Percentage,Units,0.089900
Production of crude oil,France,2011,Tonnes,Millions,1063.208000
Production of crude oil,France,2012,Tonnes,Millions,964.485000
Production of crude oil,France,2013,Tonnes,Millions,989.555000
Production of crude oil,France,2014,Tonnes,Millions,951.905000
Production of crude oil,France,2015,Tonnes,Millions,990.010000
Crude oil import prices,France,2011,US Dollar,Units,111.780000
Crude oil import prices,France,2012,US Dollar,Units,112.010000
Crude oil import prices,France,2013,US Dollar,Units,109.560000
Crude oil import prices,France,2014,US Dollar,Units,99.400000
Inland goods transport,France,2011,Tonnes-kilometres,Billions,237.266000
Inland goods transport,France,2012,Tonnes-kilometres,Billions,221.328000
Inland goods transport,France,2013,Tonnes-kilometres,Billions,216.757000
Inland goods transport,France,2014,Tonnes-kilometres,Billions,210.613000
Inland passenger transport,France,2011,Passenger-kilometres,Billions,952.456320
Inland passenger transport,France,2012,Passenger-kilometres,Billions,955.372550
Inland passenger transport,France,2013,Passenger-kilometres,Billions,964.193320
Inland passenger transport,France,2014,Passenger-kilometres,Billions,970.500000
Road fatalities,France,2011,Per 1 000 000 inhabitants,Units,60.653693
Road fatalities,France,2012,Per 1 000 000 inhabitants,Units,55.656211
Road fatalities,France,2013,Per 1 000 000 inhabitants,Units,49.575016
Road fatalities,France,2014,Per 1 000 000 inhabitants,Units,51.116771
Employment rates for age group 15-24,France,2011,Percentage,Units,29.600000
Employment rates for age group 15-24,France,2012,Percentage,Units,28.550000
Employment rates for age group 15-24,France,2013,Percentage,Units,28.375000
Employment rates for age group 15-24,France,2014,Percentage,Units,27.625000
Employment rates for age group 15-24,France,2015,Percentage,Units,27.900000
Employment rates for age group 25-54,France,2011,Percentage,Units,81.450000
Employment rates for age group 25-54,France,2012,Percentage,Units,80.925000
Employment rates for age group 25-54,France,2013,Percentage,Units,80.600000
Employment rates for age group 25-54,France,2014,Percentage,Units,79.800000
Employment rates for age group 25-54,France,2015,Percentage,Units,79.375000
Employment rates for age group 55-64,France,2011,Percentage,Units,41.375000
Employment rates for age group 55-64,France,2012,Percentage,Units,44.475000
Employment rates for age group 55-64,France,2013,Percentage,Units,45.600000
Employment rates for age group 55-64,France,2014,Percentage,Units,46.925000
Employment rates for age group 55-64,France,2015,Percentage,Units,48.725000
Incidence of part-time employment,France,2011,Percentage,Units,13.663431
Incidence of part-time employment,France,2012,Percentage,Units,13.872552
Incidence of part-time employment,France,2013,Percentage,Units,14.019011
Incidence of part-time employment,France,2014,Percentage,Units,14.314556
Incidence of part-time employment,France,2015,Percentage,Units,14.355480
Self-employment rates: women,France,2012,Percentage,Units,7.451207
Self-employment rates: women,France,2013,Percentage,Units,7.596378
Self-employment rates: women,France,2014,Percentage,Units,7.596378
Self-employment rates: men,France,2012,Percentage,Units,12.349372
Self-employment rates: men,France,2013,Percentage,Units,12.606363
Self-employment rates: men,France,2014,Percentage,Units,12.606363
Self-employment rates: total,France,2012,Percentage,Units,9.985311
Self-employment rates: total,France,2013,Percentage,Units,10.185042
Self-employment rates: total,France,2014,Percentage,Units,10.185042
Average hours actually worked,France,2011,Hours,Units,1546.000000
Average hours actually worked,France,2012,Hours,Units,1541.000000
Average hours actually worked,France,2013,Hours,Units,1526.000000
Average hours actually worked,France,2014,Hours,Units,1518.000000
Average hours actually worked,France,2015,Hours,Units,1519.000000
Unemployment rates: men,France,2011,Percentage,Units,8.533685
Unemployment rates: men,France,2012,Percentage,Units,9.437520
Unemployment rates: men,France,2013,Percentage,Units,10.041690
Unemployment rates: men,France,2014,Percentage,Units,10.534380
Unemployment rates: men,France,2015,Percentage,Units,10.799610
Unemployment rates: women,France,2011,Percentage,Units,9.116116
Unemployment rates: women,France,2012,Percentage,Units,9.357384
Unemployment rates: women,France,2013,Percentage,Units,9.789412
Unemployment rates: women,France,2014,Percentage,Units,10.029180
Unemployment rates: women,France,2015,Percentage,Units,9.883949
Unemployment rates: total,France,2011,Percentage,Units,8.811044
Unemployment rates: total,France,2012,Percentage,Units,9.399351
Unemployment rates: total,France,2013,Percentage,Units,9.921325
Unemployment rates: total,France,2014,Percentage,Units,10.291710
Unemployment rates: total,France,2015,Percentage,Units,10.359810
Long-term unemployment,France,2011,Percentage,Units,41.162598
Long-term unemployment,France,2012,Percentage,Units,40.326652
Long-term unemployment,France,2013,Percentage,Units,40.478978
Long-term unemployment,France,2014,Percentage,Units,42.650645
Long-term unemployment,France,2015,Percentage,Units,42.810332
